Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRC36,OUT045,2781.9958
FDV21,OUT019,287.77142
FDB53,OUT046,2376.8484
DRP47,OUT019,692.2763
FDA14,OUT013,2356.1604
DRC24,OUT035,2551.2263
FDW21,OUT018,1322.1986
NCH29,OUT046,1594.4813
FDU58,OUT013,2890.9695
FDY27,OUT017,2953.117
FDV56,OUT035,1808.3732
FDT59,OUT046,3451.4875
FDB23,OUT046,3512.4714
FDR49,OUT045,716.73553
FDB03,OUT010,556.77106
FDN39,OUT045,2681.905
FDX02,OUT027,5771.295
FDQ16,OUT027,2686.6663
FDU35,OUT018,1363.8533
NCT29,OUT013,1880.785
FDZ27,OUT046,762.0849
FDN57,OUT017,2396.6677
FDA03,OUT018,1976.068
FDZ36,OUT045,2974.4485
NCU05,OUT013,1131.5653
FDT39,OUT018,2105.212
FDK60,OUT017,1577.9487
FDZ25,OUT017,2931.1697
FDG12,OUT046,2223.9512
DRB01,OUT019,372.96402
NCC43,OUT027,6243.918
FDX13,OUT019,647.47186
FDM22,OUT049,806.08984
FDJ03,OUT027,1246.7603
FDU14,OUT018,3371.5327
FDB33,OUT010,311.00098
FDP27,OUT046,3117.4597
FDO38,OUT010,187.7501
FDE28,OUT027,6023.859
FDO27,OUT035,1373.2916
DRL23,OUT027,2649.9692
FDS28,OUT046,969.0358
FDX24,OUT013,1258.5287
FDZ02,OUT035,1545.8716
FDL46,OUT045,1753.5663
FDS60,OUT027,4810.9053
NCO06,OUT017,760.16956
FDO16,OUT035,1369.9114
FDC60,OUT049,1209.7404
FDA48,OUT018,3059.6335
FDZ36,OUT027,5020.1914
FDK27,OUT045,1749.8368
FDW23,OUT018,585.4686
FDM14,OUT018,1468.7201
FDM14,OUT013,1630.0387
FDW60,OUT018,2487.7605
FDE21,OUT013,1777.0006
NCM42,OUT035,1696.3802
FDY59,OUT010,189.26009
DRI49,OUT049,1285.8783
FDT28,OUT019,280.9496
FDQ22,OUT018,403.10413
FDR60,OUT049,1113.6407
FDC50,OUT019,206.91563
FDV24,OUT013,2361.1836
DRF48,OUT010,430.3846
FDQ47,OUT046,715.26086
DRN36,OUT049,1513.4851
NCY06,OUT035,1966.4296
FDE52,OUT035,1447.1481
NCB54,OUT045,1765.5162
NCF31,OUT035,2324.437
FDJ08,OUT027,5142.355
NCC07,OUT017,1858.8895
NCD19,OUT027,1258.6333
FDL46,OUT049,1886.7089
FDM20,OUT045,3494.5747
NCI06,OUT010,332.2568
DRM11,OUT035,4025.3655
NCH07,OUT018,2068.51
FDS23,OUT013,1979.0195
FDO49,OUT018,549.5768
FDS35,OUT049,962.3605
DRK39,OUT045,1186.0145
DRI39,OUT049,855.7309
FDV04,OUT017,2590.4946
NCN14,OUT035,3055.848
FDH08,OUT013,3722.239
FDS20,OUT046,3002.7468
FDV40,OUT049,1204.8248
FDZ48,OUT010,259.4902
FDS24,OUT027,2178.1301
FDK44,OUT049,2810.3542
FDS48,OUT045,2362.8604
FDK26,OUT010,476.7821
FDD23,OUT045,3019.0662
NCH54,OUT017,2659.279
NCP14,OUT010,191.41566
FDM60,OUT010,80.28487
FDV24,OUT017,2431.8665
FDH08,OUT018,3152.884
FDS12,OUT027,3386.452
FDR39,OUT027,4871.4946
FDP12,OUT027,1017.0413
DRF60,OUT027,6005.288
FDC09,OUT035,1669.7941
FDF50,OUT018,2742.8555
FDG28,OUT035,3999.452
NCE19,OUT017,1021.76373
NCM53,OUT010,260.08286
NCN18,OUT049,1661.8622
FDF32,OUT035,3267.156
FDF11,OUT013,3823.35
DRI59,OUT049,3806.6365
NCG54,OUT035,2670.2
FDM44,OUT046,1600.0482
FDT57,OUT018,3204.1003
FDV24,OUT046,2559.762
FDI50,OUT019,646.96423
FDS09,OUT035,755.1584
NCC31,OUT027,4076.7312
FDQ07,OUT019,499.03516
FDC22,OUT017,3230.3962
FDZ56,OUT046,2688.804
FDZ40,OUT019,137.83119
FDS46,OUT027,3036.1047
DRD24,OUT045,2111.2942
FDV45,OUT017,3377.758
FDL26,OUT045,2420.3132
FDA56,OUT018,1639.037
FDN27,OUT046,1890.8336
FDM20,OUT049,4025.425
FDO16,OUT017,1503.8241
FDL03,OUT035,3383.1328
FDE58,OUT046,1864.7515
FDI02,OUT027,2838.8882
NCC55,OUT019,109.54062
FDR03,OUT018,2848.6194
FDB14,OUT017,1496.4441
FDR45,OUT013,3866.4944
NCN07,OUT017,2234.3538
FDM51,OUT019,223.41365
FDT52,OUT027,6245.9883
FDL26,OUT046,2457.1575
NCZ42,OUT046,3610.142
DRI47,OUT019,305.3506
FDW40,OUT013,2170.5115
FDN34,OUT046,2899.3396
FDS01,OUT035,2955.593
NCG55,OUT045,1700.7054
FDC11,OUT035,1309.6938
FDX35,OUT018,3264.6365
NCB06,OUT046,2534.1677
FDR09,OUT019,707.28094
FDC53,OUT017,1653.6896
FDY45,OUT013,3897.574
FDA22,OUT010,304.96143
FDE02,OUT035,1399.5671
FDW21,OUT045,1572.8036
FDV34,OUT046,1262.8844
FDS59,OUT049,1705.6635
NCW17,OUT017,2221.0474
NCK54,OUT046,1854.2313
FDG17,OUT019,779.1126
FDG35,OUT017,3199.07
FDD08,OUT010,91.16475
NCO07,OUT017,3757.4597
FDJ10,OUT010,331.69626
FDW36,OUT017,1708.4756
FDW21,OUT010,343.32468
FDY19,OUT017,2030.0922
DRE03,OUT013,722.92126
NCC55,OUT049,650.7151
FDH52,OUT010,125.08907
FDO09,OUT017,4679.2344
FDU43,OUT045,3527.5916
FDX09,OUT010,318.4785
FDH40,OUT019,206.29274
FDW58,OUT017,1881.239
FDC47,OUT017,4028.2397
NCR41,OUT035,1494.9147
DRG49,OUT035,3831.5613
FDC52,OUT027,4029.151
FDY13,OUT046,1153.7311
FDY35,OUT013,702.4449
FDI35,OUT017,3147.9539
NCU18,OUT049,2407.7273
FDY33,OUT018,2135.9521
FDC15,OUT027,4236.2817
FDU01,OUT049,3000.7322
NCU42,OUT046,2837.1367
NCV29,OUT018,2304.691
NCY30,OUT017,3362.9282
FDQ46,OUT049,1696.5797
FDG58,OUT027,4051.5017
FDK33,OUT017,3954.5552
NCD07,OUT045,1592.4891
NCX29,OUT027,3776.1804
NCT42,OUT013,2279.8813
DRN59,OUT035,688.5537
FDI44,OUT035,1179.4563
FDA45,OUT049,2702.9705
FDP31,OUT045,829.9598
FDY01,OUT046,1993.9744
FDT09,OUT018,1815.7505
DRH03,OUT027,2301.4705
FDA36,OUT018,2515.3774
NCF31,OUT017,2491.7854
FDG14,OUT049,2448.735
FDG28,OUT027,6255.9043
FDU14,OUT049,3731.923
FDY47,OUT019,284.31863
FDI56,OUT049,1340.2472
DRD01,OUT013,725.2022
FDM22,OUT046,879.2237
FDH33,OUT013,601.16473
DRZ24,OUT013,1763.2404
NCQ38,OUT046,1671.3104
FDO16,OUT027,1991.7148
FDU07,OUT027,3917.315
NCB07,OUT013,3162.5042
FDU48,OUT045,2014.3346
NCM43,OUT045,2586.3418
FDR31,OUT010,303.1402
DRK49,OUT018,423.6579
NCI30,OUT010,520.28986
DRD60,OUT017,3185.3152
NCG19,OUT046,3321.621
FDH12,OUT035,1556.6388
FDM32,OUT035,1485.0975
FDM27,OUT035,2468.388
NCU53,OUT027,4417.2524
NCQ18,OUT046,1570.9984
FDS10,OUT013,2938.6838
FDB33,OUT027,4162.1313
FDI12,OUT013,1175.889
NCW42,OUT013,3543.156
NCC06,OUT018,1700.1984
FDW02,OUT017,2142.872
NCD43,OUT017,1748.2938
FDM57,OUT018,1026.464
FDA58,OUT017,4136.6865
FDK56,OUT046,3018.3904
FDP52,OUT045,3443.9255
FDW20,OUT018,1657.9639
FDS52,OUT049,1583.4764
NCT29,OUT018,1555.8031
NCL54,OUT013,2910.426
FDC05,OUT045,3086.4873
FDF34,OUT035,3357.58
FDP03,OUT027,3207.8557
FDD32,OUT010,140.65239
FDZ10,OUT045,1950.4355
FDZ40,OUT035,840.0296
FDD51,OUT018,610.6982
NCY30,OUT019,358.36316
FDP58,OUT017,3817.1814
FDV49,OUT017,4537.084
FDY24,OUT019,145.13487
NCO55,OUT017,1741.7356
FDR13,OUT017,2007.062
FDS51,OUT017,1055.5247
FDP26,OUT045,1433.5177
NCB54,OUT027,3312.7483
FDF32,OUT017,3519.6162
FDN31,OUT018,2517.9377
DRM48,OUT017,756.38574
FDN20,OUT049,2777.231
DRL01,OUT046,3574.302
FDV56,OUT049,1718.2936
DRH13,OUT027,2673.686
FDA03,OUT017,2515.6619
FDF47,OUT027,5789.4717
FDX32,OUT046,2478.4429
FDX57,OUT049,1498.4708
NCA30,OUT045,2777.5422
FDO49,OUT013,702.35126
FDL04,OUT019,217.92845
DRM48,OUT035,670.15656
FDR16,OUT013,3397.1045
NCC19,OUT018,2617.0298
NCE42,OUT045,3278.1523
FDY24,OUT017,941.43756
FDH19,OUT049,2838.4792
FDJ46,OUT013,2831.14
FDN45,OUT010,494.57138
FDY08,OUT035,2132.0146
FDZ37,OUT035,1418.3411
NCT30,OUT045,667.85333
DRY23,OUT018,441.1112
NCZ30,OUT018,1649.9108
FDC44,OUT018,1539.5748
FDB45,OUT035,1713.2028
FDY04,OUT013,2701.735
FDM27,OUT046,2780.4736
FDZ43,OUT017,4330.24
FDT39,OUT019,317.47565
NCC06,OUT019,267.865
FDL15,OUT027,4047.6355
FDL57,OUT017,4601.1963
FDU08,OUT046,1548.3755
FDK40,OUT017,4557.257
FDQ12,OUT010,433.1515
FDS48,OUT017,2580.382
FDP09,OUT045,3051.3303
FDW21,OUT049,1407.0092
FDY25,OUT035,2990.8938
DRE13,OUT017,1515.4105
FDV43,OUT019,115.81284
FDD22,OUT045,1526.2853
FDM46,OUT019,209.5129
NCO30,OUT010,363.9133
FDM25,OUT046,3087.5972
NCN41,OUT049,2008.7345
FDU24,OUT045,1287.8082
FDZ50,OUT046,3170.32
FDP45,OUT013,3989.8064
NCM54,OUT045,1880.3875
FDW10,OUT019,331.03888
FDP20,OUT017,2195.9053
FDK32,OUT046,2560.225
FDN52,OUT049,1239.0543
FDM58,OUT045,1719.1632
FDZ46,OUT027,2797.881
NCA18,OUT018,1521.0328
FDD35,OUT046,1935.046
NCK31,OUT035,733.94366
FDI40,OUT027,2497.813
FDT50,OUT019,232.12187
NCT06,OUT046,2612.927
FDT31,OUT035,3184.0806
FDT45,OUT049,825.24927
FDT13,OUT045,2826.989
FDO50,OUT045,1253.47
NCU18,OUT010,276.36383
NCR54,OUT049,3101.2344
NCO18,OUT018,2323.4436
FDU09,OUT045,754.11664
FDT13,OUT018,2484.24
FDE09,OUT046,1795.6825
NCK53,OUT019,230.06598
FDG45,OUT049,3711.777
DRH15,OUT035,750.967
FDO21,OUT019,648.3808
FDD14,OUT027,4988.744
FDC09,OUT046,1700.3212
FDH45,OUT027,1170.3568
FDV32,OUT046,1074.9857
FDG12,OUT035,1949.1351
FDS32,OUT013,2300.6343
NCL55,OUT018,3440.3652
DRE01,OUT035,3795.0022
DRE15,OUT049,1175.9103
NCL42,OUT045,3412.0066
FDP31,OUT013,1121.3424
FDN33,OUT018,1182.0114
FDZ59,OUT046,3030.617
FDE45,OUT010,331.9271
FDJ07,OUT013,1731.8257
FDQ45,OUT018,2537.2517
FDM33,OUT027,5701.1353
FDO15,OUT010,141.06764
FDM46,OUT013,1477.0448
FDR03,OUT045,3202.4106
FDY49,OUT018,2272.9006
FDQ60,OUT045,1731.6404
FDW10,OUT049,2759.6301
FDO51,OUT049,667.3229
FDJ40,OUT018,1416.2279
FDS20,OUT018,2398.2197
FDU45,OUT013,1711.7076
FDV02,OUT035,2807.4832
FDN09,OUT046,3585.81
NCM55,OUT027,5049.349
FDN23,OUT018,2001.7172
FDY31,OUT010,288.32635
FDW03,OUT010,294.39752
FDD14,OUT046,2725.4329
FDV23,OUT017,2012.805
DRI03,OUT045,2669.0984
FDN13,OUT035,1469.7137
FDF45,OUT027,1562.4161
FDU46,OUT035,1433.7509
FDB57,OUT049,3443.9163
FDV12,OUT049,1532.2892
FDQ58,OUT013,2354.758
NCA18,OUT017,1887.5488
FDH52,OUT049,849.43384
FDM24,OUT018,2086.3132
NCP43,OUT027,4881.9863
NCO18,OUT019,354.0065
FDM32,OUT017,1620.4259
NCL07,OUT017,678.88745
FDK03,OUT013,4059.9875
FDP59,OUT017,1757.6434
FDQ24,OUT049,3790.3806
FDQ16,OUT018,1444.3696
FDU44,OUT013,2479.6814
FDH28,OUT010,82.95209
FDV28,OUT019,101.14557
FDM22,OUT045,757.639
FDR56,OUT046,3211.8904
FDV39,OUT049,3408.6877
FDU37,OUT019,211.0532
FDQ11,OUT010,771.2222
FDX02,OUT045,3204.7307
NCS42,OUT018,1223.88
FDY57,OUT027,2330.9414
FDB21,OUT049,3970.6255
FDE28,OUT017,4109.554
FDQ55,OUT017,1959.6212
FDA48,OUT049,3559.8457
FDZ19,OUT045,2588.8938
NCC43,OUT045,3596.0723
NCV18,OUT046,1339.787
NCA42,OUT018,2099.5615
FDY45,OUT046,3673.381
NCC30,OUT045,2733.6165
FDM57,OUT013,1150.1228
FDL09,OUT010,325.96466
FDB09,OUT027,3188.881
FDT44,OUT035,1773.789
NCT06,OUT027,4372.0874
FDX26,OUT049,2917.8345
FDK32,OUT013,2479.127
DRA12,OUT046,2321.9592
FDO46,OUT010,399.60455
FDE52,OUT013,1160.1724
NCH42,OUT045,3341.9229
FDV08,OUT035,745.4223
FDB47,OUT018,2856.9995
FDC28,OUT010,194.5392
FDD22,OUT046,1805.6813
FDS07,OUT027,2956.123
DRI13,OUT045,3145.527
FDG32,OUT018,3062.284
FDU14,OUT017,4359.461
FDD28,OUT019,151.64076
NCP41,OUT017,1888.859
FDS08,OUT049,3016.5203
FDX47,OUT045,2424.9473
FDC53,OUT019,244.51472
FDQ19,OUT035,4013.5955
FDL14,OUT045,2386.4924
FDM33,OUT019,487.415
FDA51,OUT045,1598.9711
FDZ27,OUT018,580.8663
FDT04,OUT046,626.7298
DRC13,OUT049,1909.3245
FDR16,OUT027,5701.5703
FDQ03,OUT027,6098.246
FDE38,OUT035,2593.0535
DRH23,OUT027,1481.2855
FDT11,OUT019,430.28058
FDD09,OUT035,3016.666
FDR40,OUT045,1248.5979
FDX07,OUT017,3317.5671
FDR07,OUT035,1487.4603
FDA51,OUT017,1815.8109
FDT59,OUT019,567.00684
FDF20,OUT017,3432.5925
FDR13,OUT045,1750.6023
FDY26,OUT049,3247.504
FDW04,OUT017,2180.217
FDK52,OUT017,4072.4924
FDN60,OUT049,2686.6724
FDM09,OUT019,340.11023
FDP46,OUT049,1293.1821
FDB50,OUT019,183.64229
NCQ29,OUT049,4003.111
FDP16,OUT027,6155.244
FDX33,OUT018,2244.1829
FDP07,OUT010,378.52954
FDN22,OUT046,3740.7036
FDF39,OUT049,4211.827
FDS21,OUT017,1189.9886
NCM42,OUT013,1502.9763
FDK50,OUT019,321.72272
DRF13,OUT027,3845.363
FDH35,OUT018,2152.5693
FDP60,OUT018,1289.2882
DRJ49,OUT027,3337.2605
NCT42,OUT019,301.77124
FDE38,OUT049,2850.2522
FDI04,OUT049,3368.326
NCH54,OUT045,2371.8508
FDT56,OUT049,822.4175
DRD15,OUT018,3182.4993
FDV58,OUT013,3144.154
FDP21,OUT049,3376.908
FDH05,OUT013,3712.7703
FDR10,OUT027,4287.0283
NCP06,OUT045,2356.7986
FDF33,OUT049,1646.3685
DRK37,OUT013,3063.0164
DRH49,OUT045,1244.88
FDT58,OUT013,2704.8562
FDD41,OUT018,1360.973
FDP40,OUT018,1504.628
FDM51,OUT027,2571.98
FDO45,OUT010,163.84021
FDW33,OUT010,195.58131
FDY24,OUT045,734.8925
FDB10,OUT010,452.7654
FDM40,OUT035,2173.7021
NCI06,OUT017,3064.9138
FDW12,OUT019,306.25604
FDX48,OUT027,4096.0923
NCW05,OUT027,2777.2805
FDX27,OUT017,1527.1335
DRM37,OUT045,2903.5354
FDA38,OUT045,3495.6592
FDR36,OUT046,734.75616
FDZ45,OUT046,3054.6443
FDG05,OUT017,2646.6538
FDK28,OUT013,4219.0645
FDV47,OUT045,1189.2417
FDN21,OUT045,2491.004
FDP20,OUT027,3251.0076
FDI35,OUT045,2751.9453
DRY23,OUT013,593.5803
FDA56,OUT017,2035.7882
FDB09,OUT013,1929.995
NCO26,OUT027,2990.8337
FDQ49,OUT018,2139.3674
FDI52,OUT027,3163.8474
FDZ44,OUT027,2965.2417
FDZ09,OUT018,2183.383
FDY03,OUT049,1730.2623
NCG42,OUT017,2232.071
DRI13,OUT027,5675.2007
FDQ32,OUT013,2030.1681
FDW16,OUT035,1445.595
FDU27,OUT046,684.9301
FDR28,OUT010,304.6773
FDQ49,OUT010,316.97708
FDS37,OUT046,1873.8007
FDW26,OUT018,3116.721
FDX12,OUT018,3348.3086
NCP06,OUT013,2542.1262
FDW45,OUT010,291.24872
NCN30,OUT049,1525.0902
FDN24,OUT049,789.0254
NCL41,OUT027,855.4664
FDR02,OUT019,248.33769
FDD09,OUT010,348.5922
FDS33,OUT010,186.29276
FDU22,OUT045,1653.351
FDI53,OUT013,2495.6648
DRH01,OUT049,2824.8318
FDX32,OUT013,2242.9392
NCP30,OUT018,523.9849
FDB60,OUT045,2924.3176
FDB14,OUT049,1373.0157
NCP02,OUT035,945.457
FDJ10,OUT017,2299.3567
FDG34,OUT046,1914.6744
NCB18,OUT017,1518.4908
FDM16,OUT049,1001.28784
FDW25,OUT018,1169.14
FDB35,OUT010,176.59401
DRN11,OUT013,2292.1387
FDF41,OUT019,651.9675
FDH16,OUT045,1192.6588
NCQ50,OUT018,2864.3025
DRH23,OUT018,788.48315
DRJ37,OUT013,2428.4695
DRJ24,OUT027,5000.1274
FDY16,OUT035,3067.6826
FDQ27,OUT045,1585.1561
FDZ33,OUT045,2141.7705
FDF29,OUT045,2061.798
FDA08,OUT049,2759.441
FDG31,OUT046,1000.6181
FDE34,OUT019,351.63342
NCR30,OUT027,1774.341
FDV33,OUT035,4177.62
DRZ24,OUT018,1594.9525
NCL54,OUT035,2759.2844
FDR12,OUT049,3019.7605
NCC54,OUT046,3467.6702
DRN59,OUT013,613.602
FDX50,OUT019,229.29332
FDV31,OUT027,4806.808
NCA29,OUT027,4629.834
FDW60,OUT049,3117.845
FDX08,OUT017,3171.9697
DRD49,OUT013,3875.1394
FDD33,OUT046,3459.7576
FDW35,OUT013,562.4212
FDJ36,OUT017,1630.7162
FDV51,OUT035,2779.6736
FDW36,OUT046,1672.0552
FDH35,OUT046,2590.118
NCS30,OUT027,3393.4314
FDN49,OUT017,724.1515
FDL08,OUT018,3373.614
FDI09,OUT013,3512.8396
FDP19,OUT018,1796.7438
FDU21,OUT010,80.778336
NCP41,OUT045,1594.7883
FDY10,OUT013,1746.9271
FDP12,OUT018,399.14285
NCN26,OUT049,1838.8724
FDK44,OUT013,2921.1882
FDC28,OUT049,1625.147
FDJ41,OUT027,6455.877
NCT29,OUT035,1840.2084
NCH42,OUT019,537.6927
FDU60,OUT018,2265.5046
FDS02,OUT045,3037.555
FDC51,OUT046,2139.6802
FDU03,OUT013,3030.735
FDX39,OUT045,3251.5906
NCY05,OUT010,80.04743
NCL06,OUT027,6397.733
FDD32,OUT035,1278.2245
NCN41,OUT045,1804.675
NCX53,OUT049,2377.5286
FDU57,OUT019,284.11664
FDQ23,OUT046,1680.2852
FDQ52,OUT045,3425.5793
FDC14,OUT045,596.9253
FDY09,OUT035,2999.7307
FDQ28,OUT045,2452.9592
FDV25,OUT046,3559.2466
FDJ07,OUT035,1788.765
DRB25,OUT049,1610.8724
FDK52,OUT019,513.13947
FDY52,OUT027,1477.1068
FDB28,OUT046,3242.928
FDT36,OUT035,623.3201
FDV25,OUT017,3872.2654
NCN07,OUT027,3347.1938
FDC57,OUT017,3491.3806
FDQ03,OUT018,3331.3093
FDU23,OUT017,2857.2056
NCX41,OUT035,3447.862
NCD06,OUT035,719.9112
FDW08,OUT045,1478.7887
NCU29,OUT017,2370.1482
NCE06,OUT013,2537.1191
FDV52,OUT010,216.36513
FDB02,OUT017,3014.1145
NCR18,OUT045,603.57477
FDK16,OUT049,1390.7694
NCQ29,OUT010,541.74713
FDZ01,OUT019,231.93166
FDW27,OUT035,2431.783
FDD17,OUT018,3302.451
FDW39,OUT013,2661.0608
DRH59,OUT045,945.97034
FDS52,OUT013,1439.413
FDU40,OUT027,5250.851
NCF54,OUT013,2871.613
FDH46,OUT045,1555.2252
NCP14,OUT049,1554.0111
FDH50,OUT049,3202.0203
DRF15,OUT010,305.555
FDV27,OUT027,2189.5537
NCJ06,OUT049,1921.9957
FDN02,OUT018,2800.9993
FDQ51,OUT049,816.39685
FDQ07,OUT017,3984.3887
FDS45,OUT049,1510.9323
NCJ06,OUT045,1856.1149
FDD36,OUT035,1825.0597
FDY25,OUT045,2763.117
FDU52,OUT046,2579.1572
DRK47,OUT017,3977.2007
NCL30,OUT017,2169.1338
FDN22,OUT035,3988.098
NCF30,OUT027,3295.364
FDK03,OUT035,4114.2065
FDT45,OUT017,953.5615
NCC54,OUT027,6061.6333
FDP08,OUT018,2721.1628
FDU44,OUT046,2870.4055
DRG39,OUT035,739.01996
FDU32,OUT049,1924.0438
FDY27,OUT049,3126.7048
NCP54,OUT013,1919.5565
NCZ41,OUT049,2027.3749
DRL49,OUT013,2286.8762
FDI05,OUT018,901.1768
FDY56,OUT045,3420.295
DRC13,OUT013,1755.5933
NCV29,OUT017,3092.5183
FDR24,OUT049,1354.3887
FDZ34,OUT018,2576.4482
FDP37,OUT035,1922.7217
FDX08,OUT027,4873.961
FDS57,OUT045,2046.9962
NCG18,OUT049,1652.4248
FDK25,OUT018,2390.4446
FDH53,OUT049,1298.1083
DRI59,OUT018,3030.1997
FDA52,OUT046,2962.6787
FDT20,OUT010,75.279236
FDE36,OUT019,352.2561
FDI24,OUT017,2876.054
FDB28,OUT018,2714.408
FDV11,OUT017,2983.7266
FDP01,OUT046,2518.015
FDD34,OUT027,4292.52
FDJ50,OUT027,1221.2422
FDZ44,OUT013,1756.6144
DRO59,OUT035,1101.5365
DRB48,OUT045,663.27014
FDR21,OUT018,2339.659
NCE42,OUT010,460.8231
FDO23,OUT046,1474.9559
NCE30,OUT018,2915.495
FDQ22,OUT035,610.49506
FDY01,OUT045,1613.6566
FDS08,OUT017,2902.2795
FDG28,OUT018,3534.4192
FDQ51,OUT018,655.79706
FDB05,OUT017,4315.697
FDO56,OUT049,1763.5796
FDE02,OUT018,1268.9529
FDN45,OUT017,3999.6199
FDS09,OUT013,649.5429
NCA54,OUT018,2403.7288
FDP09,OUT010,416.9438
FDC53,OUT045,1403.1823
NCM55,OUT017,3251.8167
FDL09,OUT018,2337.4668
FDA11,OUT019,217.9142
FDA50,OUT045,1303.0875
FDC23,OUT017,3234.8323
FDE22,OUT049,2719.5989
FDD23,OUT046,3327.4
NCA29,OUT049,3085.9397
FDK38,OUT046,2455.3987
DRC13,OUT046,2175.1443
NCP43,OUT049,2944.5137
FDX28,OUT049,1534.0624
FDF08,OUT049,1355.4343
FDZ33,OUT046,2456.6018
FDD10,OUT049,2825.8179
FDO58,OUT017,2892.26
FDI50,OUT017,4145.4004
FDO58,OUT045,2579.6987
FDX08,OUT013,2964.983
NCK17,OUT010,77.33313
FDF39,OUT035,4199.8154
FDU45,OUT010,198.86348
NCJ18,OUT018,1619.447
DRC27,OUT019,630.76263
DRC25,OUT035,1355.7877
FDU59,OUT035,2441.1482
FDU28,OUT035,3215.647
NCP30,OUT046,665.1042
FDB39,OUT018,635.3211
FDE41,OUT013,1157.4979
DRH11,OUT010,96.378265
FDA58,OUT045,3386.0237
FDU50,OUT046,2086.0188
FDM34,OUT013,2115.1375
FDM44,OUT027,2512.3408
FDR39,OUT045,2730.7385
FDM25,OUT045,2797.171
FDQ49,OUT049,2462.649
DRH25,OUT018,624.83673
FDM09,OUT027,4549.6533
FDL44,OUT019,347.4244
NCR42,OUT018,376.40594
DRL59,OUT046,818.74054
FDX43,OUT013,2687.118
DRK47,OUT010,439.37305
FDU48,OUT018,1714.4065
FDY12,OUT045,613.1971
NCN43,OUT018,1622.6818
NCM55,OUT018,2454.246
FDQ21,OUT027,3126.7397
FDX13,OUT035,3910.155
NCK30,OUT027,6287.495
FDG20,OUT049,2852.3977
DRG27,OUT017,831.18146
FDY14,OUT018,3646.885
FDP59,OUT035,1659.2434
FDU60,OUT017,2982.4387
NCC18,OUT019,383.8513
DRJ39,OUT017,4003.7854
FDS07,OUT049,1745.9573
FDM08,OUT027,5850.6807
FDP51,OUT045,1786.1981
FDU16,OUT035,1304.2283
FDH12,OUT013,1574.3145
DRE48,OUT010,414.87726
NCL42,OUT027,6137.316
FDR21,OUT045,2683.5237
NCW29,OUT035,2046.2925
FDO11,OUT013,4046.7253
NCM31,OUT049,2235.3992
FDV35,OUT019,299.54578
FDF58,OUT017,1057.4464
NCE43,OUT049,2931.5657
FDA02,OUT035,2332.5818
DRL37,OUT010,97.70151
FDR24,OUT018,1204.1038
FDW59,OUT049,1273.295
FDS22,OUT049,813.4734
FDW24,OUT017,997.2214
FDU24,OUT035,1387.2332
FDA21,OUT027,5038.73
FDH58,OUT027,2949.7278
FDW36,OUT018,1341.9149
FDI45,OUT027,4639.593
FDU01,OUT018,2574.1204
FDF35,OUT027,2843.054
FDU43,OUT019,676.1816
FDE24,OUT019,275.51425
